Category,Sector,Row,Number
Floor,I,1,1
Floor,I,1,2
Floor,I,1,3
Floor,I,1,4
Floor,I,1,5
Floor,I,1,6
Floor,I,1,7
Floor,I,1,8
Floor,I,1,9
Floor,I,1,10
Floor,I,1,11
Floor,I,1,12
Floor,I,1,13
Floor,I,1,14
Floor,I,1,15
Floor,I,1,16
Floor,I,1,17
Floor,I,1,18
Floor,I,1,19
Floor,I,1,20
Floor,I,1,21
Floor,I,1,22
Floor,I,1,23
Floor,I,1,24
Floor,I,1,25
Floor,I,1,26
Floor,I,1,27
Floor,I,1,28
Floor,I,1,29
Floor,I,1,30
Floor,I,2,1
Floor,I,2,2
Floor,I,2,3
Floor,I,2,4
Floor,I,2,5
Floor,I,2,6
Floor,I,2,7
Floor,I,2,8
Floor,I,2,9
Floor,I,2,10
Floor,I,2,11
Floor,I,2,12
Floor,I,2,13
Floor,I,2,14
Floor,I,2,15
Floor,I,2,16
Floor,I,2,17
Floor,I,2,18
Floor,I,2,19
Floor,I,2,20
Floor,I,2,21
Floor,I,2,22
Floor,I,2,23
Floor,I,2,24
Floor,I,2,25
Floor,I,2,26
Floor,I,2,27
Floor,I,2,28
Floor,I,2,29
Floor,I,2,30
Floor,I,3,1
Floor,I,3,2
Floor,I,3,3
Floor,I,3,4
Floor,I,3,5
Floor,I,3,6
Floor,I,3,7
Floor,I,3,8
Floor,I,3,9
Floor,I,3,10
Floor,I,3,11
Floor,I,3,12
Floor,I,3,13
Floor,I,3,14
Floor,I,3,15
Floor,I,3,16
Floor,I,3,17
Floor,I,3,18
Floor,I,3,19
Floor,I,3,20
Floor,I,3,21
Floor,I,3,22
Floor,I,3,23
Floor,I,3,24
Floor,I,3,25
Floor,I,3,26
Floor,I,3,27
Floor,I,3,28
Floor,I,3,29
Floor,I,3,30
Floor,I,4,1
Floor,I,4,2
Floor,I,4,3
Floor,I,4,4
Floor,I,4,5
Floor,I,4,6
Floor,I,4,7
Floor,I,4,8
Floor,I,4,9
Floor,I,4,10
Floor,I,4,11
Floor,I,4,12
Floor,I,4,13
Floor,I,4,14
Floor,I,4,15
Floor,I,4,16
Floor,I,4,17
Floor,I,4,18
Floor,I,4,19
Floor,I,4,20
Floor,I,4,21
Floor,I,4,22
Floor,I,4,23
Floor,I,4,24
Floor,I,4,25
Floor,I,4,26
Floor,I,4,27
Floor,I,4,28
Floor,I,4,29
Floor,I,4,30
Floor,I,5,1
Floor,I,5,2
Floor,I,5,3
Floor,I,5,4
Floor,I,5,5
Floor,I,5,6
Floor,I,5,7
Floor,I,5,8
Floor,I,5,9
Floor,I,5,10
Floor,I,5,11
Floor,I,5,12
Floor,I,5,13
Floor,I,5,14
Floor,I,5,15
Floor,I,5,16
Floor,I,5,17
Floor,I,5,18
Floor,I,5,19
Floor,I,5,20
Floor,I,5,21
Floor,I,5,22
Floor,I,5,23
Floor,I,5,24
Floor,I,5,25
Floor,I,5,26
Floor,I,5,27
Floor,I,5,28
Floor,I,5,29
Floor,I,5,30
Floor,I,6,1
Floor,I,6,2
Floor,I,6,3
Floor,I,6,4
Floor,I,6,5
Floor,I,6,6
Floor,I,6,7
Floor,I,6,8
Floor,I,6,9
Floor,I,6,10
Floor,I,6,11
Floor,I,6,12
Floor,I,6,13
Floor,I,6,14
Floor,I,6,15
Floor,I,6,16
Floor,I,6,17
Floor,I,6,18
Floor,I,6,19
Floor,I,6,20
Floor,I,6,21
Floor,I,6,22
Floor,I,6,23
Floor,I,6,24
Floor,I,6,25
Floor,I,6,26
Floor,I,6,27
Floor,I,6,28
Floor,I,6,29
Floor,I,6,30
Floor,I,7,1
Floor,I,7,2
Floor,I,7,3
Floor,I,7,4
Floor,I,7,5
Floor,I,7,6
Floor,I,7,7
Floor,I,7,8
Floor,I,7,9
Floor,I,7,10
Floor,I,7,11
Floor,I,7,12
Floor,I,7,13
Floor,I,7,14
Floor,I,7,15
Floor,I,7,16
Floor,I,7,17
Floor,I,7,18
Floor,I,7,19
Floor,I,7,20
Floor,I,7,21
Floor,I,7,22
Floor,I,7,23
Floor,I,7,24
Floor,I,7,25
Floor,I,7,26
Floor,I,7,27
Floor,I,7,28
Floor,I,7,29
Floor,I,7,30
Floor,I,8,1
Floor,I,8,2
Floor,I,8,3
Floor,I,8,4
Floor,I,8,5
Floor,I,8,6
Floor,I,8,7
Floor,I,8,8
Floor,I,8,9
Floor,I,8,10
Floor,I,8,11
Floor,I,8,12
Floor,I,8,13
Floor,I,8,14
Floor,I,8,15
Floor,I,8,16
Floor,I,8,17
Floor,I,8,18
Floor,I,8,19
Floor,I,8,20
Floor,I,8,21
Floor,I,8,22
Floor,I,8,23
Floor,I,8,24
Floor,I,8,25
Floor,I,8,26
Floor,I,8,27
Floor,I,8,28
Floor,I,8,29
Floor,I,8,30
Floor,I,9,1
Floor,I,9,2
Floor,I,9,3
Floor,I,9,4
Floor,I,9,5
Floor,I,9,6
Floor,I,9,7
Floor,I,9,8
Floor,I,9,9
Floor,I,9,10
Floor,I,9,11
Floor,I,9,12
Floor,I,9,13
Floor,I,9,14
Floor,I,9,15
Floor,I,9,16
Floor,I,9,17
Floor,I,9,18
Floor,I,9,19
Floor,I,9,20
Floor,I,9,21
Floor,I,9,22
Floor,I,9,23
Floor,I,9,24
Floor,I,9,25
Floor,I,9,26
Floor,I,9,27
Floor,I,9,28
Floor,I,9,29
Floor,I,9,30
Floor,I,10,1
Floor,I,10,2
Floor,I,10,3
Floor,I,10,4
Floor,I,10,5
Floor,I,10,6
Floor,I,10,7
Floor,I,10,8
Floor,I,10,9
Floor,I,10,10
Floor,I,10,11
Floor,I,10,12
Floor,I,10,13
Floor,I,10,14
Floor,I,10,15
Floor,I,10,16
Floor,I,10,17
Floor,I,10,18
Floor,I,10,19
Floor,I,10,20
Floor,I,10,21
Floor,I,10,22
Floor,I,10,23
Floor,I,10,24
Floor,I,10,25
Floor,I,10,26
Floor,I,10,27
Floor,I,10,28
Floor,I,10,29
Floor,I,10,30
Floor,I,11,1
Floor,I,11,2
Floor,I,11,3
Floor,I,11,4
Floor,I,11,5
Floor,I,11,6
Floor,I,11,7
Floor,I,11,8
Floor,I,11,9
Floor,I,11,10
Floor,I,11,11
Floor,I,11,12
Floor,I,11,13
Floor,I,11,14
Floor,I,11,15
Floor,I,11,16
Floor,I,11,17
Floor,I,11,18
Floor,I,11,19
Floor,I,11,20
Floor,I,11,21
Floor,I,11,22
Floor,I,11,23
Floor,I,11,24
Floor,I,11,25
Floor,I,11,26
Floor,I,11,27
Floor,I,11,28
Floor,I,11,29
Floor,I,11,30
Floor,I,12,1
Floor,I,12,2
Floor,I,12,3
Floor,I,12,4
Floor,I,12,5
Floor,I,12,6
Floor,I,12,7
Floor,I,12,8
Floor,I,12,9
Floor,I,12,10
Floor,I,12,11
Floor,I,12,12
Floor,I,12,13
Floor,I,12,14
Floor,I,12,15
Floor,I,12,16
Floor,I,12,17
Floor,I,12,18
Floor,I,12,19
Floor,I,12,20
Floor,I,12,21
Floor,I,12,22
Floor,I,12,23
Floor,I,12,24
Floor,I,12,25
Floor,I,12,26
Floor,I,12,27
Floor,I,12,28
Floor,I,12,29
Floor,I,12,30
Floor,I,13,1
Floor,I,13,2
Floor,I,13,3
Floor,I,13,4
Floor,I,13,5
Floor,I,13,6
Floor,I,13,7
Floor,I,13,8
Floor,I,13,9
Floor,I,13,10
Floor,I,13,11
Floor,I,13,12
Floor,I,13,13
Floor,I,13,14
Floor,I,13,15
Floor,I,13,16
Floor,I,13,17
Floor,I,13,18
Floor,I,13,19
Floor,I,13,20
Floor,I,13,21
Floor,I,13,22
Floor,I,13,23
Floor,I,13,24
Floor,I,13,25
Floor,I,13,26
Floor,I,13,27
Floor,I,13,28
Floor,I,13,29
Floor,I,13,30
Floor,I,14,1
Floor,I,14,2
Floor,I,14,3
Floor,I,14,4
Floor,I,14,5
Floor,I,14,6
Floor,I,14,7
Floor,I,14,8
Floor,I,14,9
Floor,I,14,10
Floor,I,14,11
Floor,I,14,12
Floor,I,14,13
Floor,I,14,14
Floor,I,14,15
Floor,I,14,16
Floor,I,14,17
Floor,I,14,18
Floor,I,14,19
Floor,I,14,20
Floor,I,14,21
Floor,I,14,22
Floor,I,14,23
Floor,I,14,24
Floor,I,14,25
Floor,I,14,26
Floor,I,14,27
Floor,I,14,28
Floor,I,14,29
Floor,I,14,30
Floor,I,15,1
Floor,I,15,2
Floor,I,15,3
Floor,I,15,4
Floor,I,15,5
Floor,I,15,6
Floor,I,15,7
Floor,I,15,8
Floor,I,15,9
Floor,I,15,10
Floor,I,15,11
Floor,I,15,12
Floor,I,15,13
Floor,I,15,14
Floor,I,15,15
Floor,I,15,16
Floor,I,15,17
Floor,I,15,18
Floor,I,15,19
Floor,I,15,20
Floor,I,15,21
Floor,I,15,22
Floor,I,15,23
Floor,I,15,24
Floor,I,15,25
Floor,I,15,26
Floor,I,15,27
Floor,I,15,28
Floor,I,15,29
Floor,I,15,30
Floor,I,16,1
Floor,I,16,2
Floor,I,16,3
Floor,I,16,4
Floor,I,16,5
Floor,I,16,6
Floor,I,16,7
Floor,I,16,8
Floor,I,16,9
Floor,I,16,10
Floor,I,16,11
Floor,I,16,12
Floor,I,16,13
Floor,I,16,14
Floor,I,16,15
Floor,I,16,16
Floor,I,16,17
Floor,I,16,18
Floor,I,16,19
Floor,I,16,20
Floor,I,16,21
Floor,I,16,22
Floor,I,16,23
Floor,I,16,24
Floor,I,16,25
Floor,I,16,26
Floor,I,16,27
Floor,I,16,28
Floor,I,16,29
Floor,I,16,30
Floor,II,2,9
Floor,II,2,10
Floor,II,2,11
Floor,II,2,12
Floor,II,3,7
Floor,II,3,8
Floor,II,3,9
Floor,II,3,10
Floor,II,3,11
Floor,II,3,12
Floor,II,4,5
Floor,II,4,6
Floor,II,4,7
Floor,II,4,8
Floor,II,4,9
Floor,II,4,10
Floor,II,4,11
Floor,II,4,12
Floor,II,5,3
Floor,II,5,4
Floor,II,5,5
Floor,II,5,6
Floor,II,5,7
Floor,II,5,8
Floor,II,5,9
Floor,II,5,10
Floor,II,5,11
Floor,II,5,12
Floor,II,6,1
Floor,II,6,2
Floor,II,6,3
Floor,II,6,4
Floor,II,6,5
Floor,II,6,6
Floor,II,6,7
Floor,II,6,8
Floor,II,6,9
Floor,II,6,10
Floor,II,6,11
Floor,II,6,12
Floor,II,7,1
Floor,II,7,2
Floor,II,7,3
Floor,II,7,4
Floor,II,7,5
Floor,II,7,6
Floor,II,7,7
Floor,II,7,8
Floor,II,7,9
